Pavarde          Vardas           ND1              ND2              ND3              ND4              ND5              Egz.             
Pavarde1         Vardas1          0                4                0                3                2                2                
Pavarde2         Vardas2          4                4                6                1                5                4                
Pavarde3         Vardas3          0                7                1                6                10               6                
Pavarde4         Vardas4          2                6                3                3                8                3                
Pavarde5         Vardas5          8                9                6                7                3                0                
Pavarde6         Vardas6          0                7                6                8                7                2                
Pavarde7         Vardas7          5                3                1                10               8                0                
Pavarde8         Vardas8          5                9                3                5                9                8                
Pavarde9         Vardas9          9                5                8                10               3                0                
Pavarde10        Vardas10         8                6                0                10               7                9                
Pavarde11        Vardas11         10               9                8                10               4                7                
Pavarde12        Vardas12         2                1                6                3                2                3                
Pavarde13        Vardas13         9                3                6                7                9                4                
Pavarde14        Vardas14         7                0                10               3                2                8                
Pavarde15        Vardas15         2                7                10               8                9                0                
Pavarde16        Vardas16         6                6                7                8                8                1                
Pavarde17        Vardas17         9                5                6                4                7                6                
Pavarde18        Vardas18         5                10               1                9                7                7                
Pavarde19        Vardas19         0                9                2                10               1                2                
Pavarde20        Vardas20         5                9                3                2                0                3                
Pavarde21        Vardas21         2                7                9                7                6                3                
Pavarde22        Vardas22         1                2                1                4                8                3                
Pavarde23        Vardas23         10               5                6                4                8                6                
Pavarde24        Vardas24         1                3                5                2                7                2                
Pavarde25        Vardas25         8                5                1                8                9                8                
Pavarde26        Vardas26         6                10               1                9                7                4                
Pavarde27        Vardas27         5                0                5                6                1                4                
Pavarde28        Vardas28         6                6                8                0                3                4                
Pavarde29        Vardas29         3                10               1                6                5                2                
Pavarde30        Vardas30         3                7                2                10               9                6                
Pavarde31        Vardas31         5                1                6                2                2                8                
Pavarde32        Vardas32         9                5                10               9                8                7                
Pavarde33        Vardas33         5                5                10               6                10               1                
Pavarde34        Vardas34         1                6                1                4                8                1                
Pavarde35        Vardas35         1                2                4                2                6                4                
Pavarde36        Vardas36         3                10               10               9                4                2                
Pavarde37        Vardas37         6                2                3                4                1                0                
Pavarde38        Vardas38         6                9                6                3                9                3                
Pavarde39        Vardas39         3                7                9                0                6                3                
Pavarde40        Vardas40         0                2                4                5                2                10               
Pavarde41        Vardas41         5                5                0                10               3                4                
Pavarde42        Vardas42         7                6                3                0                8                1                
Pavarde43        Vardas43         10               6                9                7                4                4                
Pavarde44        Vardas44         10               3                0                2                0                6                
Pavarde45        Vardas45         4                9                2                6                7                0                
Pavarde46        Vardas46         1                9                3                7                5                6                
Pavarde47        Vardas47         9                9                1                5                2                6                
Pavarde48        Vardas48         1                4                0                0                1                8                
Pavarde49        Vardas49         8                2                10               6                5                5                
Pavarde50        Vardas50         2                2                2                0                10               9                
Pavarde51        Vardas51         4                0                0                2                3                3                
Pavarde52        Vardas52         4                3                10               8                1                1                
Pavarde53        Vardas53         6                5                10               3                10               1                
Pavarde54        Vardas54         0                0                3                9                9                0                
Pavarde55        Vardas55         1                3                9                2                3                5                
Pavarde56        Vardas56         8                8                3                10               2                3                
Pavarde57        Vardas57         1                7                10               1                2                9                
Pavarde58        Vardas58         5                4                8                9                3                7                
Pavarde59        Vardas59         6                5                4                2                10               6                
Pavarde60        Vardas60         2                9                8                3                6                9                
Pavarde61        Vardas61         7                1                1                10               6                7                
Pavarde62        Vardas62         10               6                4                7                1                5                
Pavarde63        Vardas63         6                1                3                9                4                9                
Pavarde64        Vardas64         7                10               9                10               7                3                
Pavarde65        Vardas65         9                4                9                10               4                2                
Pavarde66        Vardas66         8                2                1                3                3                8                
Pavarde67        Vardas67         0                5                0                5                7                0                
Pavarde68        Vardas68         8                8                2                10               3                8                
Pavarde69        Vardas69         3                5                8                10               3                1                
Pavarde70        Vardas70         5                2                7                8                3                10               
Pavarde71        Vardas71         3                2                0                0                2                6                
Pavarde72        Vardas72         10               8                3                9                8                6                
Pavarde73        Vardas73         7                8                7                9                3                4                
Pavarde74        Vardas74         9                7                8                4                0                5                
Pavarde75        Vardas75         0                8                4                1                7                7                
Pavarde76        Vardas76         3                9                10               6                5                7                
Pavarde77        Vardas77         8                10               3                7                10               8                
Pavarde78        Vardas78         0                6                3                1                10               10               
Pavarde79        Vardas79         5                3                3                10               7                2                
Pavarde80        Vardas80         5                7                4                9                9                4                
Pavarde81        Vardas81         0                2                3                5                9                2                
Pavarde82        Vardas82         8                8                0                5                8                1                
Pavarde83        Vardas83         8                4                9                1                10               8                
Pavarde84        Vardas84         2                2                7                2                0                6                
Pavarde85        Vardas85         10               7                4                1                6                8                
Pavarde86        Vardas86         4                1                6                0                1                0                
Pavarde87        Vardas87         9                2                1                0                6                2                
Pavarde88        Vardas88         6                8                9                4                2                2                
Pavarde89        Vardas89         8                6                5                1                5                10               
Pavarde90        Vardas90         4                10               0                8                5                4                
Pavarde91        Vardas91         4                5                4                9                7                2                
Pavarde92        Vardas92         10               4                3                0                10               3                
Pavarde93        Vardas93         7                10               1                9                5                8                
Pavarde94        Vardas94         1                7                7                10               2                9                
Pavarde95        Vardas95         5                7                7                3                1                9                
Pavarde96        Vardas96         0                3                7                10               4                0                
Pavarde97        Vardas97         9                5                8                1                2                5                
Pavarde98        Vardas98         4                4                3                10               4                1                
Pavarde99        Vardas99         1                8                3                8                2                7                
Pavarde100       Vardas100        5                3                8                9                1                3                
Pavarde101       Vardas101        1                9                9                5                6                6                
Pavarde102       Vardas102        7                1                9                0                5                2                
Pavarde103       Vardas103        3                9                7                4                3                10               
Pavarde104       Vardas104        0                9                5                9                8                4                
Pavarde105       Vardas105        10               5                8                7                3                2                
Pavarde106       Vardas106        0                1                7                7                10               1                
Pavarde107       Vardas107        4                2                7                2                5                4                
Pavarde108       Vardas108        0                3                2                5                2                3                
Pavarde109       Vardas109        2                1                8                0                5                1                
Pavarde110       Vardas110        3                10               8                0                10               2                
Pavarde111       Vardas111        7                1                6                9                0                10               
Pavarde112       Vardas112        3                9                8                1                5                7                
Pavarde113       Vardas113        1                1                5                8                10               5                
Pavarde114       Vardas114        0                5                1                5                2                2                
Pavarde115       Vardas115        3                0                8                7                3                9                
Pavarde116       Vardas116        4                1                2                1                10               7                
Pavarde117       Vardas117        4                2                8                10               2                6                
Pavarde118       Vardas118        8                5                9                5                5                4                
Pavarde119       Vardas119        7                7                5                10               2                1                
Pavarde120       Vardas120        0                4                2                0                9                10               
Pavarde121       Vardas121        2                0                0                8                10               10               
Pavarde122       Vardas122        1                10               6                10               1                5                
Pavarde123       Vardas123        9                6                5                7                6                9                
Pavarde124       Vardas124        1                7                9                10               4                1                
Pavarde125       Vardas125        9                8                7                5                9                0                
Pavarde126       Vardas126        4                4                7                9                2                10               
Pavarde127       Vardas127        5                9                5                2                9                3                
Pavarde128       Vardas128        3                0                8                2                0                4                
Pavarde129       Vardas129        8                2                0                5                1                10               
Pavarde130       Vardas130        2                8                6                1                10               7                
Pavarde131       Vardas131        0                8                0                6                5                3                
Pavarde132       Vardas132        7                9                6                4                10               8                
Pavarde133       Vardas133        8                4                0                5                6                0                
Pavarde134       Vardas134        6                6                8                5                2                7                
Pavarde135       Vardas135        1                0                7                10               4                7                
Pavarde136       Vardas136        1                0                9                6                4                2                
Pavarde137       Vardas137        5                1                7                5                3                5                
Pavarde138       Vardas138        6                2                0                0                3                8                
Pavarde139       Vardas139        8                10               1                7                8                4                
Pavarde140       Vardas140        1                3                2                8                0                8                
Pavarde141       Vardas141        2                7                10               8                5                7                
Pavarde142       Vardas142        3                0                10               0                0                3                
Pavarde143       Vardas143        6                4                5                4                5                0                
Pavarde144       Vardas144        4                10               2                1                0                10               
Pavarde145       Vardas145        1                6                8                4                5                0                
Pavarde146       Vardas146        2                7                4                4                7                2                
Pavarde147       Vardas147        3                2                3                1                0                7                
Pavarde148       Vardas148        10               5                10               6                5                0                
Pavarde149       Vardas149        3                10               4                1                9                0                
Pavarde150       Vardas150        3                8                5                4                6                3                
Pavarde151       Vardas151        4                0                2                6                3                8                
Pavarde152       Vardas152        10               0                0                2                0                2                
Pavarde153       Vardas153        3                1                10               9                10               1                
Pavarde154       Vardas154        7                0                9                3                8                8                
Pavarde155       Vardas155        2                7                0                8                10               3                
Pavarde156       Vardas156        5                9                9                5                10               4                
Pavarde157       Vardas157        8                7                10               5                7                6                
Pavarde158       Vardas158        9                6                5                9                5                5                
Pavarde159       Vardas159        5                3                10               4                7                3                
Pavarde160       Vardas160        3                9                8                1                2                5                
Pavarde161       Vardas161        5                1                10               10               6                3                
Pavarde162       Vardas162        4                3                7                9                3                5                
Pavarde163       Vardas163        2                8                5                2                8                7                
Pavarde164       Vardas164        9                4                6                7                2                0                
Pavarde165       Vardas165        5                3                5                0                10               2                
Pavarde166       Vardas166        9                7                6                1                7                5                
Pavarde167       Vardas167        8                8                2                2                3                0                
Pavarde168       Vardas168        10               4                10               5                3                5                
Pavarde169       Vardas169        0                8                3                1                5                1                
Pavarde170       Vardas170        3                3                5                10               0                8                
Pavarde171       Vardas171        0                7                1                3                6                9                
Pavarde172       Vardas172        1                5                10               4                5                5                
Pavarde173       Vardas173        8                3                8                3                6                9                
Pavarde174       Vardas174        8                9                0                5                4                8                
Pavarde175       Vardas175        7                1                1                5                7                1                
Pavarde176       Vardas176        3                7                10               8                7                10               
Pavarde177       Vardas177        5                2                10               2                6                3                
Pavarde178       Vardas178        10               3                10               0                5                10               
Pavarde179       Vardas179        10               2                5                7                3                8                
Pavarde180       Vardas180        1                9                8                2                3                7                
